Subject,Sync Start,Sync End
OutSense-498,15.02.2024.09.13.30,17.02.2024.13.27.30
OutSense-515,07.02.2024.10.47.00,09.02.2024.12.28.00
OutSense-795,27.01.2025.13.12.15,29.01.2025.10.55.45
OutSense-991,13.08.2024.09.12.20,15.08.2024.09.57.20
OutSense-532,13.03.2024.13.15.00,15.03.2024.11.11.35
OutSense-608,04.06.2024.09.39.30,06.06.2024.10.57.40
OutSense-619,03.10.2023.13.24.25,05.10.2023.12.54.10
OutSense-036,06.02.2024.09.51.10,08.02.2024.10.23.35
OutSense-115,23.07.2024.13.14.20,25.07.2024.09.12.30
OutSense-284,13.12.2023.09.22.10,15.12.2023.10.18.20
OutSense-293,28.05.2024.13.12.10,30.05.2024.10.17.00
OutSense-425_48h,27.06.2023.13.59.30,29.06.2023.13.41.40
OutSense-652,18.12.2024.10.47.30,20.12.2024.09.05.00
OutSense-694,23.10.2023.13.15.30,25.10.2023.13.16.00
OutSense-713,26.07.2024.10.55.00,28.07.2024.10.13.00
OutSense-785,30.01.2024.07.43.50,01.02.2024.15.22.50









